date,visitor,visitor-pts,home,home-pts
09/08/2022,Buffalo Bills,31,Los Angeles Rams,10
09/11/2022,Indianapolis Colts,20,Houston Texans,20
09/11/2022,San Francisco 49ers,10,Chicago Bears,19
09/11/2022,Pittsburgh Steelers,23,Cincinnati Bengals,20
09/11/2022,Philadelphia Eagles,38,Detroit Lions,35
09/11/2022,Baltimore Ravens,24,New York Jets,9
09/11/2022,New Orleans Saints,27,Atlanta Falcons,26
09/11/2022,New England Patriots,7,Miami Dolphins,20
09/11/2022,Jacksonville Jaguars,22,Washington Commanders,28
09/11/2022,Cleveland Browns,26,Carolina Panthers,24
09/11/2022,Kansas City Chiefs,44,Arizona Cardinals,21
09/11/2022,Las Vegas Raiders,19,Los Angeles Chargers,24
09/11/2022,New York Giants,21,Tennessee Titans,20
09/11/2022,Green Bay Packers,7,Minnesota Vikings,23
09/11/2022,Tampa Bay Buccaneers,19,Dallas Cowboys,3
09/12/2022,Denver Broncos,16,Seattle Seahawks,17
09/15/2022,Los Angeles Chargers,24,Kansas City Chiefs,27
09/18/2022,Tampa Bay Buccaneers,20,New Orleans Saints,10
09/18/2022,Carolina Panthers,16,New York Giants,19
09/18/2022,New England Patriots,17,Pittsburgh Steelers,14
09/18/2022,Indianapolis Colts,0,Jacksonville Jaguars,24
09/18/2022,New York Jets,31,Cleveland Browns,30
09/18/2022,Washington Commanders,27,Detroit Lions,36
09/18/2022,Miami Dolphins,42,Baltimore Ravens,38
09/18/2022,Atlanta Falcons,27,Los Angeles Rams,31
09/18/2022,Seattle Seahawks,7,San Francisco 49ers,27
09/18/2022,Arizona Cardinals,29,Las Vegas Raiders,23
09/18/2022,Houston Texans,9,Denver Broncos,16
09/18/2022,Cincinnati Bengals,17,Dallas Cowboys,20
09/18/2022,Chicago Bears,10,Green Bay Packers,27
09/19/2022,Tennessee Titans,7,Buffalo Bills,41
09/19/2022,Minnesota Vikings,7,Philadelphia Eagles,24
09/22/2022,Pittsburgh Steelers,17,Cleveland Browns,29
09/25/2022,Houston Texans,20,Chicago Bears,23
09/25/2022,Las Vegas Raiders,22,Tennessee Titans,24
09/25/2022,Detroit Lions,24,Minnesota Vikings,28
09/25/2022,Baltimore Ravens,37,New England Patriots,26
09/25/2022,Cincinnati Bengals,27,New York Jets,12
09/25/2022,Kansas City Chiefs,17,Indianapolis Colts,20
09/25/2022,Buffalo Bills,19,Miami Dolphins,21
09/25/2022,Philadelphia Eagles,24,Washington Commanders,8
09/25/2022,New Orleans Saints,14,Carolina Panthers,22
09/25/2022,Jacksonville Jaguars,38,Los Angeles Chargers,10
09/25/2022,Atlanta Falcons,27,Seattle Seahawks,23
09/25/2022,Los Angeles Rams,20,Arizona Cardinals,12
09/25/2022,Green Bay Packers,14,Tampa Bay Buccaneers,12
09/25/2022,San Francisco 49ers,10,Denver Broncos,11
09/26/2022,Dallas Cowboys,23,New York Giants,16
09/29/2022,Miami Dolphins,15,Cincinnati Bengals,27
10/02/2022,Minnesota Vikings,28,New Orleans Saints,25
10/02/2022,Washington Commanders,10,Dallas Cowboys,25
10/02/2022,Los Angeles Chargers,34,Houston Texans,24
10/02/2022,Tennessee Titans,24,Indianapolis Colts,17
10/02/2022,Cleveland Browns,20,Atlanta Falcons,23
10/02/2022,Seattle Seahawks,48,Detroit Lions,45
10/02/2022,Buffalo Bills,23,Baltimore Ravens,20
10/02/2022,Chicago Bears,12,New York Giants,20
10/02/2022,Jacksonville Jaguars,21,Philadelphia Eagles,29
10/02/2022,New York Jets,24,Pittsburgh Steelers,20
10/02/2022,Arizona Cardinals,26,Carolina Panthers,16
10/02/2022,Denver Broncos,23,Las Vegas Raiders,32
10/02/2022,New England Patriots,24,Green Bay Packers,27
10/02/2022,Kansas City Chiefs,41,Tampa Bay Buccaneers,31
10/03/2022,Los Angeles Rams,9,San Francisco 49ers,24
10/06/2022,Indianapolis Colts,12,Denver Broncos,9
10/09/2022,New York Giants,27,Green Bay Packers,22
10/09/2022,Chicago Bears,22,Minnesota Vikings,29
10/09/2022,Seattle Seahawks,32,New Orleans Saints,39
10/09/2022,Miami Dolphins,17,New York Jets,40
10/09/2022,Detroit Lions,0,New England Patriots,29
10/09/2022,Pittsburgh Steelers,3,Buffalo Bills,38
10/09/2022,Atlanta Falcons,15,Tampa Bay Buccaneers,21
10/09/2022,Tennessee Titans,21,Washington Commanders,17
10/09/2022,Houston Texans,13,Jacksonville Jaguars,6
10/09/2022,Los Angeles Chargers,30,Cleveland Browns,28
10/09/2022,San Francisco 49ers,37,Carolina Panthers,15
10/09/2022,Dallas Cowboys,22,Los Angeles Rams,10
10/09/2022,Philadelphia Eagles,20,Arizona Cardinals,17
10/09/2022,Cincinnati Bengals,17,Baltimore Ravens,19
10/10/2022,Las Vegas Raiders,29,Kansas City Chiefs,30
10/13/2022,Washington Commanders,12,Chicago Bears,7
10/16/2022,New York Jets,27,Green Bay Packers,10
10/16/2022,Cincinnati Bengals,30,New Orleans Saints,26
10/16/2022,Baltimore Ravens,20,New York Giants,24
10/16/2022,San Francisco 49ers,14,Atlanta Falcons,28
10/16/2022,Jacksonville Jaguars,27,Indianapolis Colts,34
10/16/2022,Tampa Bay Buccaneers,18,Pittsburgh Steelers,20
10/16/2022,Minnesota Vikings,24,Miami Dolphins,16
10/16/2022,New England Patriots,38,Cleveland Browns,15
10/16/2022,Arizona Cardinals,9,Seattle Seahawks,19
10/16/2022,Carolina Panthers,10,Los Angeles Rams,24
10/16/2022,Buffalo Bills,24,Kansas City Chiefs,20
10/16/2022,Dallas Cowboys,17,Philadelphia Eagles,26
10/17/2022,Denver Broncos,16,Los Angeles Chargers,19
10/20/2022,New Orleans Saints,34,Arizona Cardinals,42
10/23/2022,Detroit Lions,6,Dallas Cowboys,24
10/23/2022,Indianapolis Colts,10,Tennessee Titans,19
10/23/2022,Atlanta Falcons,17,Cincinnati Bengals,35
10/23/2022,Cleveland Browns,20,Baltimore Ravens,23
10/23/2022,Green Bay Packers,21,Washington Commanders,23
10/23/2022,Tampa Bay Buccaneers,3,Carolina Panthers,21
10/23/2022,New York Giants,23,Jacksonville Jaguars,17
10/23/2022,Houston Texans,20,Las Vegas Raiders,38
10/23/2022,New York Jets,16,Denver Broncos,9
10/23/2022,Seattle Seahawks,37,Los Angeles Chargers,23
10/23/2022,Kansas City Chiefs,44,San Francisco 49ers,23
10/23/2022,Pittsburgh Steelers,10,Miami Dolphins,16
10/24/2022,Chicago Bears,33,New England Patriots,14
10/27/2022,Baltimore Ravens,27,Tampa Bay Buccaneers,22
10/30/2022,Denver Broncos,21,Jacksonville Jaguars,17
10/30/2022,Chicago Bears,29,Dallas Cowboys,49
10/30/2022,Arizona Cardinals,26,Minnesota Vikings,34
10/30/2022,Las Vegas Raiders,0,New Orleans Saints,24
10/30/2022,New England Patriots,22,New York Jets,17
10/30/2022,Pittsburgh Steelers,13,Philadelphia Eagles,35
10/30/2022,Miami Dolphins,31,Detroit Lions,27
10/30/2022,Carolina Panthers,34,Atlanta Falcons,37
10/30/2022,Tennessee Titans,17,Houston Texans,10
10/30/2022,New York Giants,13,Seattle Seahawks,27
10/30/2022,San Francisco 49ers,31,Los Angeles Rams,14
10/30/2022,Washington Commanders,17,Indianapolis Colts,16
10/30/2022,Green Bay Packers,17,Buffalo Bills,27
10/31/2022,Cincinnati Bengals,13,Cleveland Browns,32
11/03/2022,Philadelphia Eagles,29,Houston Texans,17
11/06/2022,Miami Dolphins,35,Chicago Bears,32
11/06/2022,Carolina Panthers,21,Cincinnati Bengals,42
11/06/2022,Green Bay Packers,9,Detroit Lions,15
11/06/2022,Indianapolis Colts,3,New England Patriots,26
